"","Source_ID","HeterotrophyScore","Predicted.trophic.mode","Genome","Phagocyte.generalist.prediction","Phagocyte.entamoebid.prediction","Phagocyte.rozellid.prediction","Prototrophy.prediction","Photosynthesis.prediction","Trophic.mode","RF.predicted.TM"
"620","MMETSP1447",-369,"Phototroph","MMETSP1447.sigModels.txt",0.00705579961481191,0.0275451247960193,0.105178005069061,0.885126755558851,0.930584961172073,"Phototroph","Phototroph"
"621","MMETSP1449",-358,"Phototroph","MMETSP1449.sigModels.txt",0.00974215486890274,0.0189283797066214,0.404297360243726,0.965467253748213,0.944707961826717,"Phototroph","Phototroph"
"622","MMETSP1450",-185,"Phototroph","MMETSP1450.sigModels.txt",0.999334189972252,0.998189183747594,0.84322749279194,0.927144541544729,0.931693720004085,"Phototroph","Phototroph"
"623","MMETSP1451",-0.200920245398773,"Mixotroph","MMETSP1451.sigModels.txt",0.141002514137523,0.122292253718252,0.798168082388303,0.959605898277382,0.728794165110231,"Mixotroph","Mixotroph"
"624","MMETSP1452",-231,"Phototroph","MMETSP1452.sigModels.txt",0.285800940672125,0.263524594939346,0.12686422508239,0.826666332737078,0.889505038720157,"Phototroph","Phototroph"
"625","MMETSP1453",-244,"Phototroph","MMETSP1453.sigModels.txt",0.0106500805684518,0.00307374280591696,0.03436692949581,0.599643811856038,0.968915436777074,"Phototroph","Phototroph"
"626","MMETSP1456",-285,"Phototroph","MMETSP1456.sigModels.txt",0.00113395610311002,0.00278419821880679,0.0128535804028798,0.848634151009536,0.979978740805885,"Phototroph","Phototroph"
"627","MMETSP1459",-320,"Phototroph","MMETSP1459.sigModels.txt",0.000376359419665492,0.00130686770187895,0.00577407022299696,0.961144644320607,0.999044215645923,"Phototroph","Phototroph"
"628","MMETSP1460",-315,"Phototroph","MMETSP1460.sigModels.txt",0.00233633400244098,0.00343113257447243,0.0200947078310494,0.795617009175113,0.976095441180655,"Phototroph","Phototroph"
"629","MMETSP1462",-0.227208976157083,"Mixotroph","MMETSP1462.sigModels.txt",0.719870993737332,0.594153751487848,0.79644275184213,0.900049446659721,0.899746425555095,"Phototroph","Phototroph"
"630","MMETSP1463",-250,"Phototroph","MMETSP1463.sigModels.txt",0.0209572594352937,0.000792781974043148,0.216100199021343,0.813139393263635,0.803633386763686,"Phototroph","Phototroph"
"631","MMETSP1464",-284,"Phototroph","MMETSP1464.sigModels.txt",0.101317763797203,0.0129783450157314,0.314037587693498,0.764166784483858,0.918741817038695,"Phototroph","Phototroph"
"632","MMETSP1465",-248,"Phototroph","MMETSP1465.sigModels.txt",0.0238147183640996,0.00353654051869676,0.0842127697259227,0.674121808470621,0.994379736394829,"Phototroph","Phototroph"
"633","MMETSP1466",-240,"Phototroph","MMETSP1466.sigModels.txt",0.198145043138322,0.0198980539538639,0.336243389535537,0.761816631259447,0.846238930919348,"Phototroph","Phototroph"
"634","MMETSP1467",-249,"Phototroph","MMETSP1467.sigModels.txt",0.159537665882785,0.107208746448319,0.0667643254553215,0.873796929729907,0.852262376659402,"Phototroph","Phototroph"
"635","MMETSP1468",-305,"Phototroph","MMETSP1468.sigModels.txt",0.0105214802442995,0.0184332144625244,0.0659631936244967,0.897160002382906,0.999632997980117,"Phototroph","Phototroph"
"636","MMETSP1469",-234,"Phototroph","MMETSP1469.sigModels.txt",0.00948587641816717,0.0419360772526223,0.0218105409704522,0.720396666584394,0.986711340088114,"Phototroph","Phototroph"
"637","MMETSP1470",-274,"Phototroph","MMETSP1470.sigModels.txt",0.889202834304379,0.740052406993711,0.288276853411548,0.978866121774663,0.998768388783125,"Phototroph","Phototroph"
"638","MMETSP1471",-318,"Phototroph","MMETSP1471.sigModels.txt",0.000117344052738266,0.000681540536620425,0.00579132727643998,0.807467066595328,0.996635150597649,"Phototroph","Phototroph"
"639","MMETSP1472",-250,"Phototroph","MMETSP1472.sigModels.txt",0.000341604726944185,0.000622791725133626,0.0185599019755533,0.550734026856083,0.995647958488929,"Phototroph","Phototroph"
"640","MMETSP1473",-307,"Phototroph","MMETSP1473.sigModels.txt",0.000344111682976988,0.0052824027134226,0.00340567183345682,0.981864615190803,0.97386938632418,"Phototroph","Phototroph"
"641","MMETSP1474",-164,"Phototroph","MMETSP1474.sigModels.txt",0.851140635680492,0.721814746306338,0.55152714095188,0.897464437025672,0.673926876260843,"Phototroph","Phototroph"
"642","MMETSP1475",-273,"Phototroph","MMETSP1475.sigModels.txt",0.000266756342868754,0.0006775192340052,0.00613797919042394,0.491400216323315,0.858224169149464,"Phototroph","Phototroph"
