old_mag_name	new_mag_name
IO-all-SRF-0-8-5-00_bin-258	TOPAZ_IOS1_P041
IO-all-SRF-0-8-5-00_bin-259	TOPAZ_IOS1_P042
IO-all-SRF-0-8-5-00_bin-276	TOPAZ_IOS1_P043
IO-all-SRF-0-8-5-00_bin-277	TOPAZ_IOS1_P044
IO-all-SRF-0-8-5-00_bin-278	TOPAZ_IOS1_P045
IO-all-SRF-0-8-5-00_bin-283	TOPAZ_IOS1_P046
IO-all-SRF-0-8-5-00_bin-285	TOPAZ_IOS1_P047
IO-all-SRF-0-8-5-00_bin-297	TOPAZ_IOS1_P048
IO-all-SRF-0-8-5-00_bin-299	TOPAZ_IOS1_P049
IO-all-SRF-0-8-5-00_bin-300	TOPAZ_IOS1_P050
IO-all-SRF-0-8-5-00_bin-306	TOPAZ_IOS1_P051
IO-all-SRF-0-8-5-00_bin-308	TOPAZ_IOS1_P052
IO-all-SRF-0-8-5-00_bin-309	TOPAZ_IOS1_P053
IO-all-SRF-0-8-5-00_bin-311	TOPAZ_IOS1_P054
IO-all-SRF-0-8-5-00_bin-314	TOPAZ_IOS1_P055
IO-all-SRF-0-8-5-00_bin-316	TOPAZ_IOS1_P056
IO-all-SRF-0-8-5-00_bin-318	TOPAZ_IOS1_P057
IO-all-SRF-0-8-5-00_bin-320	TOPAZ_IOS1_P058
IO-all-SRF-0-8-5-00_bin-327	TOPAZ_IOS1_P059
IO-all-SRF-0-8-5-00_bin-330	TOPAZ_IOS1_P060
IO-all-SRF-0-8-5-00_bin-333	TOPAZ_IOS1_P061
IO-all-SRF-0-8-5-00_bin-334	TOPAZ_IOS1_P062
IO-all-SRF-0-8-5-00_bin-335	TOPAZ_IOS1_P063
IO-all-SRF-0-8-5-00_bin-345	TOPAZ_IOS1_P064
IO-all-SRF-0-8-5-00_bin-368	TOPAZ_IOS1_P065
IO-all-SRF-0-8-5-00_bin-369	TOPAZ_IOS1_P066
IO-all-SRF-0-8-5-00_bin-375	TOPAZ_IOS1_P067
IO-all-SRF-0-8-5-00_bin-376	TOPAZ_IOS1_P068
IO-all-SRF-0-8-5-00_bin-379	TOPAZ_IOS1_P069
IO-all-SRF-0-8-5-00_bin-383	TOPAZ_IOS1_P070
IO-all-SRF-0-8-5-00_bin-384	TOPAZ_IOS1_P071
IO-all-SRF-0-8-5-00_bin-387	TOPAZ_IOS1_P072
IO-all-SRF-0-8-5-00_bin-398	TOPAZ_IOS1_P073
IO-all-SRF-0-8-5-00_bin-401	TOPAZ_IOS1_P074
IO-all-SRF-0-8-5-00_bin-403	TOPAZ_IOS1_P075
IO-all-SRF-0-8-5-00_bin-408	TOPAZ_IOS1_P076
IO-all-SRF-0-8-5-00_bin-41	TOPAZ_IOS1_P077
IO-all-SRF-0-8-5-00_bin-412	TOPAZ_IOS1_P078
IO-all-SRF-0-8-5-00_bin-416	TOPAZ_IOS1_P079
IO-all-SRF-0-8-5-00_bin-417	TOPAZ_IOS1_P080
IO-all-SRF-0-8-5-00_bin-419	TOPAZ_IOS1_P081
IO-all-SRF-0-8-5-00_bin-421	TOPAZ_IOS1_P082
IO-all-SRF-0-8-5-00_bin-422	TOPAZ_IOS1_P083
IO-all-SRF-0-8-5-00_bin-43	TOPAZ_IOS1_P084
IO-all-SRF-0-8-5-00_bin-431	TOPAZ_IOS1_P085
IO-all-SRF-0-8-5-00_bin-433	TOPAZ_IOS1_P086
IO-all-SRF-0-8-5-00_bin-439	TOPAZ_IOS1_P087
IO-all-SRF-0-8-5-00_bin-444	TOPAZ_IOS1_P088
IO-all-SRF-0-8-5-00_bin-45	TOPAZ_IOS1_P089
IO-all-SRF-0-8-5-00_bin-453	TOPAZ_IOS1_P090
IO-all-SRF-0-8-5-00_bin-456	TOPAZ_IOS1_P091
IO-all-SRF-0-8-5-00_bin-46	TOPAZ_IOS1_P092
IO-all-SRF-0-8-5-00_bin-463	TOPAZ_IOS1_P093
IO-all-SRF-0-8-5-00_bin-466	TOPAZ_IOS1_P094
IO-all-SRF-0-8-5-00_bin-471	TOPAZ_IOS1_P095
IO-all-SRF-0-8-5-00_bin-475	TOPAZ_IOS1_P096
IO-all-SRF-0-8-5-00_bin-493	TOPAZ_IOS1_P097
IO-all-SRF-0-8-5-00_bin-503	TOPAZ_IOS1_P098
