"community","Cluster","MAG"
4,"Cluster_76","MS-all-SRF-5-20-00_bin-56"
4,"Cluster_76","SAO-all-SRF-20-180-00_bin-71"
4,"Cluster_76","SPO-SPSG-SRF-20-180-00_bin-59"
4,"Cluster_76","SPO-all-SRF-20-180-00_bin-23"
4,"Cluster_76","MS-all-SRF-180-2000-00_bin-8"
4,"Cluster_76","MS-all-SRF-20-180-00_bin-58"
4,"Cluster_76","MS-all-SRF-5-20-00_bin-56"
4,"Cluster_76","SAO-all-SRF-20-180-00_bin-71"
4,"Cluster_76","SPO-SPSG-SRF-20-180-00_bin-59"
4,"Cluster_76","SPO-all-SRF-20-180-00_bin-23"
4,"Cluster_76","MS-all-SRF-180-2000-00_bin-8"
4,"Cluster_76","MS-all-SRF-20-180-00_bin-58"
4,"SPO-SPSG-SRF-20-180-00_bin-80","SPO-SPSG-SRF-20-180-00_bin-80"
4,"Cluster_80","SPO-SPSG-SRF-20-180-00_bin-93"
4,"Cluster_80","SPO-all-SRF-20-180-00_bin-173"
4,"Cluster_80","SPO-SPSG-SRF-20-180-00_bin-93"
4,"Cluster_80","SPO-all-SRF-20-180-00_bin-173"
4,"MS-all-SRF-20-180-00_bin-6","MS-all-SRF-20-180-00_bin-6"
4,"NPO-all-SRF-20-180-00_bin-1","NPO-all-SRF-20-180-00_bin-1"
4,"Cluster_93","MS-all-SRF-20-180-00_bin-27"
4,"Cluster_93","MS-all-DCM-20-180-00_bin-25"
4,"Cluster_93","MS-all-SRF-20-180-00_bin-27"
4,"Cluster_93","MS-all-DCM-20-180-00_bin-25"
4,"MS-all-SRF-20-180-00_bin-70","MS-all-SRF-20-180-00_bin-70"
4,"IO-all-SRF-5-20-00_bin-71","IO-all-SRF-5-20-00_bin-71"
4,"SPO-PEOD-DCM-20-180-00_bin-4","SPO-PEOD-DCM-20-180-00_bin-4"
