"","Source_ID","Predicted.trophic.mode","Score"
"395","IO-all-SRF-5-20-00_bin-121","Mixotroph",537
"396","IO-all-SRF-5-20-00_bin-121","Phototroph",749
"397","IO-all-SRF-5-20-00_bin-128","Heterotroph",193
"398","IO-all-SRF-5-20-00_bin-128","Mixotroph",90
"399","IO-all-SRF-5-20-00_bin-128","Phototroph",173
"400","IO-all-SRF-5-20-00_bin-49","Heterotroph",219
"401","IO-all-SRF-5-20-00_bin-49","Mixotroph",120
"402","IO-all-SRF-5-20-00_bin-49","Phototroph",200
"403","IO-all-SRF-5-20-00_bin-60","Heterotroph",173
"404","IO-all-SRF-5-20-00_bin-60","Mixotroph",95
"405","IO-all-SRF-5-20-00_bin-60","Phototroph",189
"406","IO-all-SRF-5-20-00_bin-65","Heterotroph",221
"407","IO-all-SRF-5-20-00_bin-65","Mixotroph",189
"408","IO-all-SRF-5-20-00_bin-65","Phototroph",288
"409","IO-all-SRF-5-20-00_bin-71","Heterotroph",362
"410","IO-all-SRF-5-20-00_bin-71","Mixotroph",269
"411","IO-all-SRF-5-20-00_bin-71","Phototroph",291
"412","IO-all-SRF-5-20-00_bin-74","Heterotroph",160
"413","IO-all-SRF-5-20-00_bin-74","Mixotroph",74
"414","IO-all-SRF-5-20-00_bin-74","Phototroph",178
"415","MS-all-DCM-0-8-5-00_bin-10","Heterotroph",256
"416","MS-all-DCM-0-8-5-00_bin-10","Mixotroph",213
"417","MS-all-DCM-0-8-5-00_bin-10","Phototroph",298
"418","MS-all-DCM-0-8-5-00_bin-147","Heterotroph",229
"419","MS-all-DCM-0-8-5-00_bin-147","Mixotroph",224
"420","MS-all-DCM-0-8-5-00_bin-147","Phototroph",328
"421","MS-all-DCM-0-8-5-00_bin-224","Heterotroph",509
"422","MS-all-DCM-0-8-5-00_bin-224","Mixotroph",475
